[2024-05-29 10:18:28.839]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-05-29 10:18:28.852]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-05-29 10:18:29.510]	 Already installed "tmux-resurrect"
[2024-05-29 10:18:29.525]	 Done.

[2024-05-29 18:02:12.311]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-05-29 18:02:12.322]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-05-29 18:02:12.857]	 Already installed "tmux-resurrect"
[2024-05-29 18:02:12.871]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-05-29 18:02:13.252]	 Updating all plugins!
[2024-05-29 18:02:13.253]	 
[2024-05-29 18:02:17.200]	   "tmux-resurrect" update success
[2024-05-29 18:02:17.202]	     | Already up to date.
[2024-05-29 18:02:17.202]	     | Submodule 'lib/tmux-test' (https://github.com/tmux-plugins/tmux-test.git) registered for path 'lib/tmux-test'
[2024-05-29 18:02:17.202]	     | Cloning into '/Users/evollt/.tmux/plugins/tmux-resurrect/lib/tmux-test'...
[2024-05-29 18:02:17.202]	     | From https://github.com/tmux-plugins/tmux-test
[2024-05-29 18:02:17.202]	     |  * branch            c38f488f152af6f6fd688ecdcf2728498813a01d -> FETCH_HEAD
[2024-05-29 18:02:17.202]	     | Submodule path 'lib/tmux-test': checked out 'c38f488f152af6f6fd688ecdcf2728498813a01d'
[2024-05-29 18:02:17.214]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-05-29 18:02:18.098]	 unknown variable: TMUX_PLUGIN_MANAGER_PATH
[2024-05-29 18:02:18.100]	 FATAL: Tmux Plugin Manager not configured in tmux.conf
[2024-05-29 18:02:18.100]	 Aborting.
[2024-05-29 18:02:18.115]	 Done.

[2024-05-29 18:02:30.594]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-05-29 18:02:30.606]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-05-29 18:02:30.746]	 Already installed "tmux-resurrect"
[2024-05-29 18:02:30.758]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-05-29 18:02:30.868]	 Updating all plugins!
[2024-05-29 18:02:30.868]	 
[2024-05-29 18:02:31.618]	   "tmux-resurrect" update success
[2024-05-29 18:02:31.621]	     | Already up to date.
[2024-05-29 18:02:31.634]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-05-29 18:02:31.680]	 Done.

[2024-05-29 19:14:32.007]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-05-29 19:14:32.020]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-05-29 19:14:32.221]	 Already installed "tmux-resurrect"
[2024-05-29 19:14:32.233]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-05-29 19:14:32.390]	 Updating all plugins!
[2024-05-29 19:14:32.390]	 
[2024-05-29 19:14:32.984]	   "tmux-resurrect" update success
[2024-05-29 19:14:32.986]	     | Already up to date.
[2024-05-29 19:14:32.998]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-05-29 19:14:33.044]	 Done.

[2024-05-29 19:15:05.290]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-05-29 19:15:05.301]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-05-29 19:15:05.412]	 Already installed "tmux-resurrect"
[2024-05-29 19:15:05.423]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-05-29 19:15:05.481]	 Updating all plugins!
[2024-05-29 19:15:05.481]	 
[2024-05-29 19:15:06.053]	   "tmux-resurrect" update success
[2024-05-29 19:15:06.055]	     | Already up to date.
[2024-05-29 19:15:06.067]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-05-29 19:15:06.109]	 Done.

[2024-05-30 19:42:51.687]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-05-30 19:42:51.700]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
